id	text	count
477178542305054720	rt @sportscenter: the world cup kicks off now! neymar leads the favored brazilian selecao on home soil. http://t.co/9icwbqopgz	138
477181272641785857	rt @squawka: photo of the world cup so far. #worldcup #bra http://t.co/4lnenfk1v8	138
477182517091774464	croatia score the first goal in the world cup 2014 https://t.co/dk9ohl5ley	137
477182445948002304	real madrid player scores the first 2014 world cup goal. marcelo in his debut. feel sorry for him.	135
477183875089965057	it's arrived - players and staff gather to watch the opening game of the #worldcup   #bravscro #3lions http://t.co/agaevd5ra0	135
477183486768345091	world cup 2014 is the first edition in world cup history to open the scoring with an own goal.	133
477183103103143937	away from the #bra game #por c. ronaldo has limped out of training after 15 mins with a knee injury and is a doubt for the world cup.	133
477180760806658048	rt @realbobmortimer: #brazilvscroatia for the opening ceremony they should have just laid hulk down on the centre circle and slowly reveale...	126
477182701158412289	dude on brazil scored on his own goal? so that means he dies if they lose right? isn't that how the world cup works?	123
477182045920456704	world cup 2014 min 10 : brazil 0 - 1 croatia (marcelo own goal) #firstgoal #worldcup2014	123
477182095815479296	defenders worst nightmare! welcome to the world cup. lots of time.	121
477140213467447296	rt @pele: for this world cup, i wish good health to all the players, safety and enjoyment to all the fans,	120
477182812324245504	an own goal to open the world cup. the only thing more catastrophic than that would be like... a safety to open the super bowl.	116
477182397541535745	first goal of the 2014 world cup was an own goal, nobody saw that coming	115
477181966228262914	and everyone thought brazil would destroy croatia. #cro 1-0 #bra	114
477182142628130816	not a good look. http://t.co/pajmvtcng6 #bra #cro	114
477183241003085824	croatia is on the board, up 1-0 vs brazil... first own goal for brazil in world cup history. #bravscro	114
477181405391122432	rt if you're watching the world cup today! ⚽	108
477183080885923841	my whole timeline is watching the first match of the world cup and http://t.co/cveq7pheru	104
477178510646464513	rt @samclaflin: just because i'm a norwich supporter. for this particular game i have to say it: #comeonyouyellows #brasil #brazil2014 #wor...	104
477107247546638336	rt @_snape_: happy world cup day http://t.co/oufegyzuwk	102
477183369512361984	louis' tweet to niall today about the world cup! http://t.co/f2gnnso4lw	101
477169450437734400	rt @pattiemallettle: eu te amo #bra #worldcup	101
569140211445334016	\"@bbcnewsus: kristen stewart is first us actress to win french \"#oscars\" equivalent...\"  did she play an adulterous statue???	1
569140294748381184	b\\c the french hate everyone \"bbc: kristen stewart is first us actress to win french \"oscars\" equivalent http://t.co/t8qptvo89o\"	1
